,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
384,"Hangzhou Dianzi University(Hangzhou Dianzi University,Hangzhou University),Hangzhou,China","Hangzhou Dianzi University(Hangzhou Dianzi University,Hangzhou University),Hangzhou,China",5775,"{'primary organization': [{'text': 'hangzhou dianzi university', 'start': 0, 'end': 26, 'probability': 0.9931217941337955}, {'text': 'hangzhou university', 'start': 54, 'end': 73, 'probability': 0.6152861884513854}], 'secondary organization': [{'text': 'hangzhou dianzi university', 'start': 0, 'end': 26, 'probability': 0.9810789265398192}], 'tertiary organization': [{'text': 'hangzhou dianzi university', 'start': 0, 'end': 26, 'probability': 0.9949957610306228}, {'text': 'hangzhou university', 'start': 54, 'end': 73, 'probability': 0.5721720399154862}], 'city': [{'text': 'hangzhou', 'start': 27, 'end': 35, 'probability': 0.9341619949385809}, {'text': 'hangzhou', 'start': 75, 'end': 83, 'probability': 0.6213879435887577}, {'text': 'hangzhou', 'start': 54, 'end': 62, 'probability': 0.9687903717915276}], 'country': [{'text': 'china', 'start': 84, 'end': 89, 'probability': 0.9999832511467872}]}",hangzhou dianzi university
385,Both authors contributed equally to this work.,Both authors contributed equally to this work.,5754,{},NaN
386,"Space Telescope Sci Inst, Baltimore, MD 21218 USA","Space Telescope Sci Inst, Baltimore, MD 21218 USA",5748,"{'primary organization': [{'text': 'space telescope sci inst', 'start': 0, 'end': 24, 'probability': 0.4625918999189871}], 'secondary organization': [{'text': 'space telescope sci inst', 'start': 0, 'end': 24, 'probability': 0.37120289303545917}], 'city': [{'text': 'baltimore', 'start': 26, 'end': 35, 'probability': 0.9999833107666944}], 'country': [{'text': 'usa', 'start': 46, 'end': 49, 'probability': 0.9998490263962978}]}",space telescope sci inst
387,"Florida Int Univ, Miami, FL 33199 USA","Florida Int Univ, Miami, FL 33199 USA",5748,"{'primary organization': [{'text': 'florida int univ', 'start': 0, 'end': 16, 'probability': 0.7913853163082862}], 'secondary organization': [{'text': 'florida int univ', 'start': 0, 'end': 16, 'probability': 0.4292005221036419}], 'tertiary organization': [{'text': 'florida int univ', 'start': 0, 'end': 16, 'probability': 0.36676661957726253}], 'city': [{'text': 'miami', 'start': 18, 'end': 23, 'probability': 0.9999544029664236}], 'postal code': [{'text': '33199', 'start': 28, 'end': 33, 'probability': 0.9979552744721438}], 'country': [{'text': 'usa', 'start': 34, 'end': 37, 'probability': 0.9998766206199718}]}",florida int univ
388,"Harvard Med Sch, Boston, MA USA","Harvard Med Sch, Boston, MA USA",5744,"{'city': [{'text': 'boston', 'start': 17, 'end': 23, 'probability': 0.9999845028485304}], 'country': [{'text': 'usa', 'start': 28, 'end': 31, 'probability': 0.9999669196917438}]}",NaN
389,"Chinese Acad Sci, Inst Semicond, State Key Lab Integrated Optoelect, Beijing 100083, Peoples R China","Chinese Acad Sci, Inst Semicond, State Key Lab Integrated Optoelect, Beijing 100083, Peoples R China",5744,"{'primary organization': [{'text': 'peoples r china', 'start': 85, 'end': 100, 'probability': 0.36870639244900616}], 'secondary organization': [{'text': 'peoples r china', 'start': 85, 'end': 100, 'probability': 0.7548510954882914}], 'tertiary organization': [{'text': 'peoples r china', 'start': 85, 'end': 100, 'probability': 0.5614007526809317}], 'city': [{'text': 'beijing', 'start': 69, 'end': 76, 'probability': 0.999991059322241}], 'country': [{'text': 'china', 'start': 95, 'end': 100, 'probability': 0.9999846816401856}]}",peoples r china
390,"Stanford Linear Accelerator Center(Stanford University,Stanford Linear Accelerator Center),Menlo Park,United States","Stanford Linear Accelerator Center(Stanford University,Stanford Linear Accelerator Center),Menlo Park,United States",5740,"{'primary organization': [{'text': 'stanford linear accelerator center', 'start': 0, 'end': 34, 'probability': 0.8506059891122462}, {'text': 'stanford linear accelerator center', 'start': 55, 'end': 89, 'probability': 0.5670218894573367}, {'text': 'stanford university', 'start': 35, 'end': 54, 'probability': 0.487366388986743}], 'secondary organization': [{'text': 'stanford linear accelerator center', 'start': 0, 'end': 34, 'probability': 0.4183279165167022}], 'tertiary organization': [{'text': 'stanford linear accelerator center', 'start': 0, 'end': 34, 'probability': 0.775391583672139}, {'text': 'stanford linear accelerator center', 'start': 55, 'end': 89, 'probability': 0.8927928029157215}, {'text': 'stanford university', 'start': 35, 'end': 54, 'probability': 0.884723925498534}], 'city': [{'text': 'menlo park', 'start': 91, 'end': 101, 'probability': 0.9999622706027367}], 'country': [{'text': 'united states', 'start': 102, 'end': 115, 'probability': 0.9999560120212436}]}",stanford linear accelerator center
391,"Natl Univ Singapore, Dept Chem, Singapore 117543, Singapore","Natl Univ Singapore, Dept Chem, Singapore 117543, Singapore",5736,"{'primary organization': [{'text': 'natl univ singapore', 'start': 0, 'end': 19, 'probability': 0.6022677563518144}], 'secondary organization': [{'text': 'natl univ singapore', 'start': 0, 'end': 19, 'probability': 0.9645788358982372}], 'tertiary organization': [{'text': 'natl univ singapore', 'start': 0, 'end': 19, 'probability': 0.9521780899991654}], 'postal code': [{'text': '117543', 'start': 42, 'end': 48, 'probability': 0.7544282838586334}], 'country': [{'text': 'singapore', 'start': 10, 'end': 19, 'probability': 0.44577098707331686}, {'text': 'singapore', 'start': 32, 'end': 41, 'probability': 0.5772968697829555}]}",natl univ singapore
392,"Univ Calif San Diego, Dept Med, La Jolla, CA 92093 USA","Univ Calif San Diego, Dept Med, La Jolla, CA 92093 USA",5729,"{'secondary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.5833107707318348}], 'city': [{'text': 'la jolla', 'start': 32, 'end': 40, 'probability': 0.9958128963929944}, {'text': 'san diego', 'start': 11, 'end': 20, 'probability': 0.9804157888886778}], 'postal code': [{'text': '92093', 'start': 45, 'end': 50, 'probability': 0.9731905176828093}], 'country': [{'text': 'usa', 'start': 51, 'end': 54, 'probability': 0.9985783291115595}]}",NaN
393,"Bucharest Univ Econ Studies, Bucharest, Romania","Bucharest Univ Econ Studies, Bucharest, Romania",5723,"{'primary organization': [{'text': 'bucharest univ', 'start': 0, 'end': 14, 'probability': 0.45741138018323113}], 'tertiary organization': [{'text': 'bucharest univ', 'start': 0, 'end': 14, 'probability': 0.6112986823258311}], 'city': [{'text': 'bucharest', 'start': 0, 'end': 9, 'probability': 0.9118258677530271}, {'text': 'bucharest', 'start': 29, 'end': 38, 'probability': 0.9994138639200045}], 'country': [{'text': 'romania', 'start': 40, 'end': 47, 'probability': 0.9999604823820007}]}",bucharest univ
394,"Budker Inst Nucl Phys, Novosibirsk 630090, Russia","Budker Inst Nucl Phys, Novosibirsk 630090, Russia",5706,"{'primary organization': [{'text': 'budker inst nucl phys', 'start': 0, 'end': 21, 'probability': 0.9998323984444077}], 'secondary organization': [{'text': 'budker inst nucl phys', 'start': 0, 'end': 21, 'probability': 0.9995415129671912}], 'tertiary organization': [{'text': 'budker inst nucl phys', 'start': 0, 'end': 21, 'probability': 0.999002400851694}], 'city': [{'text': 'novosibirsk', 'start': 23, 'end': 34, 'probability': 0.9999713303695543}], 'country': [{'text': 'russia', 'start': 43, 'end': 49, 'probability': 0.9999728800401044}]}",budker inst nucl phys
395,"Fox Chase Canc Ctr, Philadelphia, PA 19111 USA","Fox Chase Canc Ctr, Philadelphia, PA 19111 USA",5698,"{'city': [{'text': 'philadelphia', 'start': 20, 'end': 32, 'probability': 0.9999836087875451}], 'postal code': [{'text': '19111', 'start': 37, 'end': 42, 'probability': 0.977866790173259}], 'country': [{'text': 'usa', 'start': 43, 'end': 46, 'probability': 0.9999459391224832}]}",NaN
396,"Moscow MV Lomonosov State Univ, Moscow, Russia","Moscow MV Lomonosov State Univ, Moscow, Russia",5695,"{'primary organization': [{'text': 'moscow mv lomonosov state univ', 'start': 0, 'end': 30, 'probability': 0.5551406918842616}], 'secondary organization': [{'text': 'moscow mv lomonosov state univ', 'start': 0, 'end': 30, 'probability': 0.738512396936585}], 'tertiary organization': [{'text': 'moscow mv lomonosov state univ', 'start': 0, 'end': 30, 'probability': 0.7695576267998305}], 'city': [{'text': 'moscow', 'start': 0, 'end': 6, 'probability': 0.5026518562225135}, {'text': 'moscow', 'start': 32, 'end': 38, 'probability': 0.9989614568004512}], 'country': [{'text': 'russia', 'start': 40, 'end': 46, 'probability': 0.9999561311977878}]}",moscow mv lomonosov state univ
397,"Univ Calif Berkeley, Space Sci Lab, Berkeley, CA 94720 USA","Univ Calif Berkeley, Space Sci Lab, Berkeley, CA 94720 USA",5682,"{'city': [{'text': 'berkeley', 'start': 11, 'end': 19, 'probability': 0.7873905638431111}, {'text': 'berkeley', 'start': 36, 'end': 44, 'probability': 0.9995814999780919}], 'postal code': [{'text': '94720', 'start': 49, 'end': 54, 'probability': 0.8288289763313372}], 'country': [{'text': 'usa', 'start': 55, 'end': 58, 'probability': 0.9989280302101804}]}",NaN
398,"Natl Inst Mat Sci, Tsukuba, Ibaraki 3050047, Japan","Natl Inst Mat Sci, Tsukuba, Ibaraki 3050047, Japan",5667,"{'primary organization': [{'text': 'natl inst mat sci', 'start': 0, 'end': 17, 'probability': 0.978210211936414}], 'secondary organization': [{'text': 'natl inst mat sci', 'start': 0, 'end': 17, 'probability': 0.9928338071816185}], 'tertiary organization': [{'text': 'natl inst mat sci', 'start': 0, 'end': 17, 'probability': 0.7486729704222128}], 'city': [{'text': 'tsukuba', 'start': 19, 'end': 26, 'probability': 0.9997697604597278}], 'postal code': [{'text': '3050047', 'start': 36, 'end': 43, 'probability': 0.9917657213372877}], 'country': [{'text': 'japan', 'start': 45, 'end': 50, 'probability': 0.9999455220589653}]}",natl inst mat sci
399,"Kazan Fed Univ, Kazan, Russia","Kazan Fed Univ, Kazan, Russia",5638,"{'primary organization': [{'text': 'kazan fed univ', 'start': 0, 'end': 14, 'probability': 0.6874455613179151}], 'secondary organization': [{'text': 'kazan fed univ', 'start': 0, 'end': 14, 'probability': 0.9779788278991077}], 'tertiary organization': [{'text': 'kazan fed univ', 'start': 0, 'end': 14, 'probability': 0.970385880758208}], 'city': [{'text': 'kazan', 'start': 16, 'end': 21, 'probability': 0.9959129153774882}], 'country': [{'text': 'russia', 'start': 23, 'end': 29, 'probability': 0.9999665023769246}]}",kazan fed univ
400,"St Jude Childrens Res Hosp, 332 N Lauderdale St, Memphis, TN 38105 USA","St Jude Childrens Res Hosp, 332 N Lauderdale St, Memphis, TN 38105 USA",5637,"{'primary organization': [{'text': 'st jude childrens res', 'start': 0, 'end': 21, 'probability': 0.9743354344181157}], 'secondary organization': [{'text': 'st jude childrens res', 'start': 0, 'end': 21, 'probability': 0.9262910099929904}], 'tertiary organization': [{'text': 'st jude childrens res', 'start': 0, 'end': 21, 'probability': 0.9675575049860896}], 'city': [{'text': 'memphis', 'start': 49, 'end': 56, 'probability': 0.9999416478444516}], 'postal code': [{'text': '38105', 'start': 61, 'end': 66, 'probability': 0.999732332480427}], 'country': [{'text': 'usa', 'start': 67, 'end': 70, 'probability': 0.9992272730850402}]}",st jude childrens res
401,"Broad Inst MIT & Harvard, Cambridge, MA 02142 USA","Broad Inst MIT & Harvard, Cambridge, MA 02142 USA",5636,"{'tertiary organization': [{'text': 'mit & harvard', 'start': 11, 'end': 24, 'probability': 0.41242929310584486}], 'city': [{'text': 'cambridge', 'start': 26, 'end': 35, 'probability': 0.999959946075446}], 'country': [{'text': 'usa', 'start': 46, 'end': 49, 'probability': 0.9999092831312062}]}",NaN
402,"Henan University(Henan University),Kaifeng,China","Henan University(Henan University),Kaifeng,China",5628,"{'primary organization': [{'text': 'henan university', 'start': 0, 'end': 16, 'probability': 0.9920843596129814}, {'text': 'henan university', 'start': 17, 'end': 33, 'probability': 0.9971712548220921}], 'secondary organization': [{'text': 'henan university', 'start': 0, 'end': 16, 'probability': 0.9143243729350132}, {'text': 'henan university', 'start': 17, 'end': 33, 'probability': 0.9956359116554552}], 'tertiary organization': [{'text': 'henan university', 'start': 0, 'end': 16, 'probability': 0.9876277798267594}, {'text': 'henan university', 'start': 17, 'end': 33, 'probability': 0.9982186657710201}], 'city': [{'text': 'kaifeng', 'start': 35, 'end': 42, 'probability': 0.9998312063063928}], 'country': [{'text': 'china', 'start': 43, 'end': 48, 'probability': 0.9999821186654394}]}",henan university
403,"Univ Fed Santa Catarina, Florianopolis, SC, Brazil","Univ Fed Santa Catarina, Florianopolis, SC, Brazil",5628,"{'primary organization': [{'text': 'univ fed santa catarina', 'start': 0, 'end': 23, 'probability': 0.697166747450872}], 'secondary organization': [{'text': 'univ fed santa catarina', 'start': 0, 'end': 23, 'probability': 0.9417288344823334}], 'tertiary organization': [{'text': 'univ fed santa catarina', 'start': 0, 'end': 23, 'probability': 0.8801037582312645}], 'city': [{'text': 'florianopolis', 'start': 25, 'end': 38, 'probability': 0.9924309310760009}], 'country': [{'text': 'brazil', 'start': 44, 'end': 50, 'probability': 0.9999803901321229}]}",univ fed santa catarina
404,"Anhui Medical University(Anhui Medical University),Hefei,China","Anhui Medical University(Anhui Medical University),Hefei,China",5609,"{'primary organization': [{'text': 'anhui medical university', 'start': 0, 'end': 24, 'probability': 0.9980887904916784}, {'text': 'anhui medical university', 'start': 25, 'end': 49, 'probability': 0.989638980370529}], 'secondary organization': [{'text': 'anhui medical university', 'start': 0, 'end': 24, 'probability': 0.9914647921320494}, {'text': 'anhui medical university', 'start': 25, 'end': 49, 'probability': 0.9710992880429217}], 'tertiary organization': [{'text': 'anhui medical university', 'start': 0, 'end': 24, 'probability': 0.9986732557997868}, {'text': 'anhui medical university', 'start': 25, 'end': 49, 'probability': 0.9953395257777231}], 'city': [{'text': 'hefei', 'start': 51, 'end': 56, 'probability': 0.9991317170390204}], 'country': [{'text': 'china', 'start': 57, 'end': 62, 'probability': 0.9999820590685147}]}",anhui medical university
