,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
912,"eindhoven university technology, nl-5600 mb eindhoven, netherlands","eindhoven univ technol, nl-5600 mb eindhoven, netherlands","eindhoven university technology, nl-5600 mb eindhoven, netherlands",3258,eindhoven university technology
913,"national physics laboratory, teddington tw11 0lw, middx, england","natl phys lab, teddington tw11 0lw, middx, england","national physics laboratory, teddington tw11 0lw, middx, england",3251,national physics laboratory
914,"university sciences and technology china, national synchrotron radiat laboratory, hefei 230029, anhui, peoples r china","univ sci & technol china, natl synchrotron radiat lab, hefei 230029, anhui, peoples r china","university sciences and technology china, national synchrotron radiat laboratory, hefei 230029, anhui, peoples r china",3251,university sciences and technology
915,department of physics,department of physics,department of physics,3249,department of physics
916,mayo clinic rochester mn,mayo clinic rochester mn,mayo clinic rochester mn,3247,mayo clinic
917,"graduate university of chinese academy of sciences(^ graduate university of chinese academy of sciences),beijing,china","graduate university of chinese academy of sciences(^ graduate university of chinese academy of sciences),beijing,china","graduate university of chinese academy of sciences(^ graduate university of chinese academy of sciences),beijing,china",3242,university of chinese academy of sciences
918,"rutgers state university, department physics and astron, piscataway, nj 08854 usa","rutgers state univ, dept phys & astron, piscataway, nj 08854 usa","rutgers state university, department physics and astron, piscataway, nj 08854 usa",3237,rutgers state university
919,"nanyang technology university, sch physics and math sciences, div physics and apply physics, singapore 637371, singapore","nanyang technol univ, sch phys & math sci, div phys & appl phys, singapore 637371, singapore","nanyang technology university, sch physics and math sciences, div physics and apply physics, singapore 637371, singapore",3227,nanyang technology university
920,"n carolina state university, department chemical, raleigh, nc 27695 usa","n carolina state univ, dept chem, raleigh, nc 27695 usa","n carolina state university, department chemical, raleigh, nc 27695 usa",3224,n carolina state university
921,"national taiwan university, department physics, taipei 10617, taiwan","natl taiwan univ, dept phys, taipei 10617, taiwan","national taiwan university, department physics, taipei 10617, taiwan",3220,national taiwan university
922,"institute of process engineering chinese academy of sciences(chinese academy of sciences),beijing,china","institute of process engineering chinese academy of sciences(chinese academy of sciences),beijing,china","institute of process engineering chinese academy of sciences(chinese academy of sciences),beijing,china",3218,institute of process engineering
923,"department of physics, university of oslo, oslo, norway.","department of physics, university of oslo, oslo, norway.","department of physics, university of oslo, oslo, norway.",3218,department of physics
924,"mayo clinic and mayo fdn,rochester,mn 55901","mayo clin & mayo fdn,rochester,mn 55901","mayo clinic and mayo fdn,rochester,mn 55901",3214,mayo clinic
925,"baylor college medicine, department mol and cellular biol, houston, tx 77030 usa","baylor coll med, dept mol & cellular biol, houston, tx 77030 usa","baylor college medicine, department mol and cellular biol, houston, tx 77030 usa",3211,baylor college medicine
926,"nanyang technology university, sch elect and elect engineering, singapore, singapore","nanyang technol univ, sch elect & elect engn, singapore, singapore","nanyang technology university, sch elect and elect engineering, singapore, singapore",3210,nanyang technology university
927,"national taiwan university, department chemical, taipei 10617, taiwan","natl taiwan univ, dept chem, taipei 10617, taiwan","national taiwan university, department chemical, taipei 10617, taiwan",3210,national taiwan university
928,"university n carolina, lineberger comprehens canc center, chapel hill, nc 27599 usa","univ n carolina, lineberger comprehens canc ctr, chapel hill, nc 27599 usa","university n carolina, lineberger comprehens canc center, chapel hill, nc 27599 usa",3207,university n carolina
929,"school of materials science and engineering, harbin institute of technology, harbin 150001, china","school of materials science and engineering, harbin institute of technology, harbin 150001, china","school of materials science and engineering, harbin institute of technology, harbin 150001, china",3206,harbin institute of technology
930,"national center nanosci and technology, beijing 100190, peoples r china","natl ctr nanosci & technol, beijing 100190, peoples r china","national center nanosci and technology, beijing 100190, peoples r china",3204,national center nanosci and technology
931,"geisinger medicine center, danville, pa 17822 usa","geisinger med ctr, danville, pa 17822 usa","geisinger medicine center, danville, pa 17822 usa",3203,geisinger medicine center
932,"hospital general university gregorio maranon, madrid, spain","hosp gen univ gregorio maranon, madrid, spain","hospital general university gregorio maranon, madrid, spain",3202,hospital general university
933,"university so calif, department chemical, los angeles, ca 90089 usa","univ so calif, dept chem, los angeles, ca 90089 usa","university so calif, department chemical, los angeles, ca 90089 usa",3200,NaN
934,"institute clinic evaluat sciences, toronto, on, canada","inst clin evaluat sci, toronto, on, canada","institute clinic evaluat sciences, toronto, on, canada",3199,institute clinic evaluat sciences
935,"hebei university of science and technology(hebei university of science and technology),shijiazhuang,china","hebei university of science and technology(hebei university of science and technology),shijiazhuang,china","hebei university of science and technology(hebei university of science and technology),shijiazhuang,china",3199,hebei university of science and technology
936,"penn state university, department physics, university pk, pa 16802 usa","penn state univ, dept phys, university pk, pa 16802 usa","penn state university, department physics, university pk, pa 16802 usa",3198,penn state university
937,"xinjiang university(xinjiang university),urumqi,china","xinjiang university(xinjiang university),urumqi,china","xinjiang university(xinjiang university),urumqi,china",3197,xinjiang university
938,"university alabama birmingham, department medicine, birmingham, al 35294 usa","univ alabama birmingham, dept med, birmingham, al 35294 usa","university alabama birmingham, department medicine, birmingham, al 35294 usa",3193,university alabama
939,university of kwazulu natal,university of kwazulu natal,university of kwazulu natal,3192,university of kwazulu natal
940,"tata institute fundamental research, bombay 400005, maharashtra, india","tata inst fundamental res, bombay 400005, maharashtra, india","tata institute fundamental research, bombay 400005, maharashtra, india",3185,tata institute fundamental research
941,"max planck institute radioastron, hugel 69, d-53121 bonn, germany","max planck inst radioastron, hugel 69, d-53121 bonn, germany","max planck institute radioastron, hugel 69, d-53121 bonn, germany",3185,max planck institute
942,hamburg,hamburg,hamburg,3176,hamburg
943,"university milano bicocca, milan, italy","univ milano bicocca, milan, italy","university milano bicocca, milan, italy",3173,university milano bicocca
